University,Large,Medium,Public,Liberal Arts,Small,Rank,Private
Massachusetts Institute of Technology,False,True,False,False,False,1.0,True
Stanford University,False,True,False,False,False,2.0,True
Yale University,False,True,False,False,False,3.0,True
Harvard University,False,True,False,False,False,4.0,True
Princeton University,False,True,False,False,False,5.0,True
Duke University,False,True,False,False,False,6.0,True
Brown University,False,True,False,False,False,7.0,True
Columbia University,False,True,False,False,False,8.0,True
University of Pennsylvania,False,True,False,False,False,9.0,True
Rice University,False,True,False,False,False,10.0,True
Northwestern University,False,True,False,False,False,11.0,True
Vanderbilt University,False,True,False,False,False,12.0,True
Pomona College,False,False,False,True,True,13.0,True
Washington University in St. Louis,False,True,False,False,False,14.0,True
Dartmouth College,False,True,False,False,False,15.0,True
California Institute of Technology,False,False,False,False,True,16.0,True
University of Notre Dame,False,True,False,False,False,17.0,True
University of Chicago,False,True,False,False,False,18.0,True
University of Southern California,True,False,False,False,False,19.0,True
Cornell University,True,False,False,False,False,20.0,True
Bowdoin College,False,False,False,True,True,21.0,True
Amherst College,False,False,False,True,True,22.0,True
University of Michigan - Ann Arbor,True,False,True,False,False,23.0,False
Georgetown University,False,True,False,False,False,24.0,True
Tufts University,False,True,False,False,False,25.0,True
University of California - Los Angeles,True,False,True,False,False,26.0,False
Johns Hopkins University,False,True,False,False,False,27.0,True
Carnegie Mellon University,False,True,False,False,False,28.0,True
University of Virginia,True,False,True,False,False,29.0,False
Emory University,False,True,False,False,False,30.0,True
Haverford College,False,False,False,True,True,31.0,True
Carleton College,False,False,False,True,True,32.0,True
Middlebury College,False,False,False,True,True,33.0,True
Barnard College,False,False,False,True,True,34.0,True
Williams College,False,False,False,True,True,35.0,True
Washington & Lee University,False,False,False,True,True,36.0,True
United States Military Academy at West Point,False,True,True,True,False,37.0,False
Georgia Institute of Technology,False,True,True,False,False,38.0,False
Wellesley College,False,False,False,True,True,39.0,True
Swarthmore College,False,False,False,True,True,40.0,True
University of California - Berkeley,True,False,True,False,False,41.0,False
