University,Arts & Crafts Store,Clothing Store,Gift Shop,Park,Salon / Barbershop,Smoke Shop,Student Center,Tea Room,MUSEUM,BOOKSTORE,COMMON_RESTAURANT,NOVEL_RESTAURANT,RESTAURANT,GYM,THEATER,STADIUM,VENUE,LIQUOR,PUB,FANCY_BAR,TRAIL,HISTORIC,SQUARE,BEAUTY,ART,FANCY_FOOD,JUICE,EASY_FOOD,GROCERY,SWEETS,CONVENIENCE,BREAKFAST,COFFEE,SELF_CARE,Cluster Label
Amherst College,0,0,0,1,0,0,1,0,2,1,6,1,5,0,1,0,0,0,2,0,0,0,0,1,1,1,0,4,0,4,0,1,1,1,2
Barnard College,1,0,0,4,0,0,0,1,1,3,14,4,7,0,0,0,0,1,3,0,0,1,1,1,1,1,0,13,3,2,5,1,6,0,5
Bates College,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
Boston College,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,2,2,0,2,0,2
Boston University,0,0,0,2,1,0,0,0,0,0,11,2,4,3,2,1,2,1,2,0,0,0,1,0,1,1,1,5,2,3,3,4,6,2,5
Bowdoin College,0,0,0,1,0,0,0,0,2,0,3,1,2,1,1,0,0,0,3,0,0,0,0,0,1,0,0,2,1,0,1,0,2,0,2
Brigham Young University,0,0,0,0,1,0,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,7,0,0,1,0,1
Brown University,0,0,1,1,1,0,0,1,2,1,10,6,12,3,1,0,1,0,2,0,0,0,0,1,2,0,1,10,0,5,1,3,7,1,4
Bryn Mawr College,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
California Institute of Technology,0,1,1,1,1,0,0,0,0,0,4,0,2,2,1,0,0,1,0,1,0,0,3,1,0,0,0,4,0,4,0,2,5,0,1
