,University,Rank,Small,Medium,Large,Public,Private,Liberal Arts,Total Cost of Attendance,Full-Time Undergrads,Full-Time Nonresident Aliens ,Percentage of Nonresident Aliens to All Undergrads,Policy: Need-based,Policy: Merit,Policy: No Aid,Percentage of Nonresident Aliens Receiving Aid,Average Aid Award,Average Cost with Aid,Expected Cost,Latitude,Longitude
0,Massachusetts Institute of Technology,1.0,False,True,False,False,True,False,73160.0,73160.0,457.0,10.0,True,True,False,78.0,56675.0,16485.0,28887.0,42.3583961,-71.09567787663931
1,Stanford University,2.0,False,True,False,False,True,False,75470.0,75470.0,739.0,11.0,True,True,False,27.0,60250.0,15220.0,59083.0,37.4316091,-122.16936535498309
2,Yale University,3.0,False,True,False,False,True,False,76490.0,76490.0,646.0,11.0,True,True,False,57.0,62089.0,14401.0,41120.0,41.3124042,-72.92566039270301
3,Harvard University,4.0,False,True,False,False,True,False,73800.0,73800.0,814.0,12.0,True,True,False,73.0,61703.0,12097.0,29001.0,42.37626005,-71.12612232686303
4,Princeton University,5.0,False,True,False,False,True,False,70850.0,70850.0,653.0,12.0,True,True,False,70.0,54271.0,16579.0,32702.0,40.342835074999996,-74.65800016680154
5,Duke University,6.0,False,True,False,False,True,False,77569.0,77569.0,658.0,10.0,True,True,False,32.0,66754.0,10815.0,55960.0,35.999603949999994,-78.93664631153634
6,Brown University,7.0,False,True,False,False,True,False,77490.0,77490.0,751.0,11.0,True,True,False,17.0,62935.0,14555.0,66763.0,41.826853625,-71.40228830348407
7,Columbia University,8.0,False,True,False,False,True,False,,,,,False,True,False,,,,,40.814856000000006,-73.96101623650988
8,University of Pennsylvania,9.0,False,True,False,False,True,False,78186.0,78186.0,1320.0,13.0,True,True,False,26.0,51724.0,26462.0,64589.0,39.9492849,-75.19291418251626
9,Rice University,10.0,False,True,False,False,True,False,67402.0,67402.0,463.0,12.0,True,True,False,26.0,43656.0,23746.0,55899.0,29.716791450000002,-95.40478113393792
10,Northwestern University,11.0,False,True,False,False,True,False,78599.0,78599.0,780.0,9.0,True,True,False,23.0,58827.0,19772.0,64948.0,42.0551164,-87.67581113482166
11,Vanderbilt University,12.0,False,True,False,False,True,False,71110.0,71110.0,599.0,9.0,True,True,False,27.0,53134.0,17976.0,56740.0,37.708753525,-85.54703394547647
12,Pomona College,13.0,True,False,False,False,True,True,75080.0,75080.0,189.0,11.0,True,True,False,44.0,59477.0,15603.0,48960.0,34.096326774999994,-117.71319861205757
13,Washington University in St. Louis,14.0,False,True,False,False,True,False,76910.0,76910.0,551.0,8.0,True,True,False,12.0,47748.0,29162.0,71191.0,38.6502018,-90.3114481
14,Dartmouth College,15.0,False,True,False,False,True,False,77326.0,77326.0,403.0,9.0,True,True,False,63.0,64516.0,12810.0,36663.0,43.701971925,-72.28965318682857
15,California Institute of Technology,16.0,True,False,False,False,True,False,74763.0,74763.0,83.0,9.0,True,True,False,35.0,53060.0,21703.0,56224.0,34.13710185,-118.1252748661162
16,University of Notre Dame,17.0,False,True,False,False,True,False,74193.0,74193.0,541.0,6.0,True,True,False,43.0,51006.0,23187.0,52414.0,41.704567749999995,-86.23822026017265
17,University of Chicago,18.0,False,True,False,False,True,False,,,,,False,True,False,,,,,41.7892454,-87.59771803592608
18,University of Southern California,19.0,False,False,True,False,True,False,73270.0,73270.0,2491.0,13.0,False,True,False,21.0,18069.0,55201.0,69433.0,34.02024625,-118.28660743457544
19,Cornell University,20.0,False,False,True,False,True,False,75243.0,75243.0,1589.0,11.0,True,True,False,11.0,62170.0,13073.0,68240.0,42.45063639999999,-76.48227781130683
20,Bowdoin College,21.0,True,False,False,False,True,True,70710.0,70710.0,107.0,6.0,True,True,False,49.0,56919.0,13791.0,43048.0,43.90825,-69.9616745820036
21,Amherst College,22.0,True,False,False,False,True,True,73966.0,73966.0,151.0,8.0,True,True,False,89.0,66093.0,7873.0,14876.0,42.371195325,-72.51510404562048
22,University of Michigan - Ann Arbor,23.0,False,False,True,True,False,False,30298.0,30298.0,2107.0,7.0,False,True,True,0.0,0.0,30298.0,30298.0,42.2788567,-83.7342551
23,Georgetown University,24.0,False,True,False,False,True,False,77768.0,77768.0,991.0,14.0,True,True,False,3.0,69406.0,8362.0,75737.0,38.90893925,-77.07457962060826
24,Tufts University,25.0,False,True,False,False,True,False,74000.0,74000.0,588.0,11.0,True,True,False,29.0,60243.0,13757.0,56788.0,42.40629165,-71.11819855889479
25,University of California - Los Angeles,26.0,False,False,True,True,False,False,34831.0,34831.0,3645.0,12.0,False,True,False,3.0,26372.0,8459.0,34013.0,34.0708781,-118.44684973165106
26,Johns Hopkins University,27.0,False,True,False,False,True,False,,,,,False,True,False,,,,,39.1033748,-77.19807592179512
27,Carnegie Mellon University,28.0,False,True,False,False,True,False,74116.0,74116.0,1507.0,23.0,False,True,True,0.0,0.0,74116.0,74116.0,40.4441619,-79.942728259225
28,University of Virginia,29.0,False,False,True,True,False,False,33493.0,33493.0,698.0,4.0,False,True,False,0.0,0.0,33493.0,33493.0,38.03971165,-78.50424855091785
29,Emory University,30.0,False,True,False,False,True,False,70000.0,70000.0,1118.0,16.0,True,True,False,8.0,45671.0,24329.0,66323.0,33.795867650000005,-84.3201858947244
30,Haverford College,31.0,True,False,False,False,True,True,76130.0,76130.0,144.0,11.0,True,True,False,28.0,64598.0,11532.0,58186.0,40.0071506,-75.30694232576307
