,University,Cluster,Rank,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Total Cost of Attendance,Full-Time Undergrads,Full-Time Nonresident Aliens ,Percentage of Nonresident Aliens to All Undergrads,Policy: Need-based,Policy: Merit,Policy: No Aid,Percentage of Nonresident Aliens Receiving Aid,Average Aid Award,Average Cost with Aid,Expected Cost
0,Amherst College,2,1,COMMON_RESTAURANT,RESTAURANT,SWEETS,EASY_FOOD,PUB,MUSEUM,SELF_CARE,Student Center,THEATER,BOOKSTORE,73966.0,73966.0,151.0,8.0,True,True,False,89.0,66093.0,7873.0,14876.0
1,Barnard College,4,2,COMMON_RESTAURANT,EASY_FOOD,RESTAURANT,COFFEE,CONVENIENCE,Park,NOVEL_RESTAURANT,GROCERY,PUB,BOOKSTORE,78044.0,78044.0,249.0,9.0,True,True,False,12.0,62097.0,15947.0,70562.0
2,Bates College,2,3,SWEETS,COMMON_RESTAURANT,VENUE,SELF_CARE,BOOKSTORE,THEATER,GYM,RESTAURANT,NOVEL_RESTAURANT,Tea Room,73538.0,73538.0,142.0,8.0,True,True,False,56.0,59258.0,14280.0,40153.0
3,Boston College,2,4,CONVENIENCE,SWEETS,COFFEE,BEAUTY,STADIUM,EASY_FOOD,COMMON_RESTAURANT,MUSEUM,RESTAURANT,NOVEL_RESTAURANT,,,,,False,True,False,,,,
4,Boston University,5,5,COMMON_RESTAURANT,COFFEE,EASY_FOOD,RESTAURANT,BREAKFAST,CONVENIENCE,SWEETS,GYM,PUB,THEATER,71618.0,71618.0,3687.0,22.0,False,True,False,6.0,34717.0,36901.0,69490.0
5,Bowdoin College,2,6,COMMON_RESTAURANT,PUB,RESTAURANT,EASY_FOOD,COFFEE,MUSEUM,THEATER,CONVENIENCE,Park,GROCERY,70710.0,70710.0,107.0,6.0,True,True,False,49.0,56919.0,13791.0,43048.0
6,Brigham Young University,1,7,SWEETS,EASY_FOOD,SQUARE,COMMON_RESTAURANT,MUSEUM,Tea Room,COFFEE,Salon / Barbershop,NOVEL_RESTAURANT,RESTAURANT,19236.0,19236.0,1026.0,4.0,True,True,False,52.0,5704.0,13532.0,16289.0
7,Brown University,5,8,RESTAURANT,COMMON_RESTAURANT,EASY_FOOD,COFFEE,NOVEL_RESTAURANT,SWEETS,BREAKFAST,GYM,ART,MUSEUM,77490.0,77490.0,751.0,11.0,True,True,False,17.0,62935.0,14555.0,66763.0
8,Bryn Mawr College,2,9,COMMON_RESTAURANT,BREAKFAST,EASY_FOOD,SELF_CARE,MUSEUM,GYM,RESTAURANT,NOVEL_RESTAURANT,BOOKSTORE,Student Center,73990.0,73990.0,291.0,22.0,True,True,False,40.0,55060.0,18930.0,52042.0
9,California Institute of Technology,1,10,COFFEE,SWEETS,EASY_FOOD,COMMON_RESTAURANT,SQUARE,BREAKFAST,RESTAURANT,GYM,LIQUOR,FANCY_BAR,74763.0,74763.0,83.0,9.0,True,True,False,35.0,53060.0,21703.0,56224.0
