,University,University Latitude,University Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Massachusetts Institute of Technology,42.3583961,-71.09567787663931,Zesiger Sports And Fitness Center,42.35880219956315,-71.09588816624462,Gym / Fitness Center
1,Massachusetts Institute of Technology,42.3583961,-71.09567787663931,MIT Johnson Athletics Center (Building W34),42.3588564161682,-71.0959322059377,College Gym
2,Massachusetts Institute of Technology,42.3583961,-71.09567787663931,Flour Bakery + Cafe,42.36112299047327,-71.0965210880214,Bakery
3,Massachusetts Institute of Technology,42.3583961,-71.09567787663931,MIT Kresge Auditorium (Building W16),42.35818272809422,-71.09492197728908,Concert Hall
4,Massachusetts Institute of Technology,42.3583961,-71.09567787663931,MIT Du Pont Tennis Courts,42.35682927174206,-71.09690957939036,Tennis Court
5,Massachusetts Institute of Technology,42.3583961,-71.09567787663931,Darwin's Ltd.,42.362402245783784,-71.0985137843173,Sandwich Place
6,Massachusetts Institute of Technology,42.3583961,-71.09567787663931,A4cade,42.36213549744512,-71.0983904346637,Arcade
7,Massachusetts Institute of Technology,42.3583961,-71.09567787663931,Cuchi Cuchi,42.36332069091929,-71.09709493003564,Lounge
8,Massachusetts Institute of Technology,42.3583961,-71.09567787663931,MIT Steinbrenner Stadium,42.35846233812923,-71.09787696660298,Stadium
9,Massachusetts Institute of Technology,42.3583961,-71.09567787663931,MIT Museum (Building N52),42.36192188692118,-71.09768749172926,Science Museum
10,Massachusetts Institute of Technology,42.3583961,-71.09567787663931,Cafe Luna,42.362875,-71.094341,Café
11,Massachusetts Institute of Technology,42.3583961,-71.09567787663931,Craigie on Main,42.363411,-71.098527,New American Restaurant
12,Massachusetts Institute of Technology,42.3583961,-71.09567787663931,Area Four,42.363096348538136,-71.0921853436009,Pizza Place
13,Massachusetts Institute of Technology,42.3583961,-71.09567787663931,Heartbreak Hill Running Company,42.36229293787734,-71.0985775613999,Sporting Goods Shop
14,Massachusetts Institute of Technology,42.3583961,-71.09567787663931,Mae,42.363403999999996,-71.096858,Thai Restaurant
15,Massachusetts Institute of Technology,42.3583961,-71.09567787663931,Abide,42.36242434738445,-71.09858075546083,Tea Room
16,Massachusetts Institute of Technology,42.3583961,-71.09567787663931,Saloniki,42.36101074348269,-71.09579118118349,Greek Restaurant
17,Massachusetts Institute of Technology,42.3583961,-71.09567787663931,Sulmona,42.36293928387788,-71.09398269323246,Italian Restaurant
18,Massachusetts Institute of Technology,42.3583961,-71.09567787663931,NewCity Microcreamery,42.36333108996453,-71.09993464014876,Ice Cream Shop
19,Massachusetts Institute of Technology,42.3583961,-71.09567787663931,Oath Pizza - Central Square,42.361244696780716,-71.09610896726754,Pizza Place
20,Massachusetts Institute of Technology,42.3583961,-71.09567787663931,Anna's Taqueria,42.35887554026724,-71.09433041809135,Burrito Place
21,Massachusetts Institute of Technology,42.3583961,-71.09567787663931,MIT Alumni Pool/Wang Fitness Center (Building 57),42.36120986292247,-71.090418000125,College Gym
22,Massachusetts Institute of Technology,42.3583961,-71.09567787663931,Technology Square,42.36344681738895,-71.09225898757485,Park
23,Massachusetts Institute of Technology,42.3583961,-71.09567787663931,Miracle of Science Bar & Grill,42.36248268100064,-71.09877593166105,Bar
24,Massachusetts Institute of Technology,42.3583961,-71.09567787663931,Roxy's Central,42.36219924951,-71.09841245194666,Sandwich Place
25,Massachusetts Institute of Technology,42.3583961,-71.09567787663931,The Muddy Charles,42.35917278793156,-71.08794969125104,Pub
26,Massachusetts Institute of Technology,42.3583961,-71.09567787663931,MIT Press Bookstore,42.36236744850869,-71.09833004150032,Bookstore
