,University,Large,Medium,Public,Liberal Arts,Small,Rank,Private,Total Cost of Attendance,Full-Time Undergrads,Full-Time Nonresident Aliens ,Percentage of Nonresident Aliens to All Undergrads,Policy: Need-based,Policy: Merit,Policy: No Aid,Percentage of Nonresident Aliens Receiving Aid,Average Aid Award,Average Cost with Aid,Expected Cost
0,Massachusetts Institute of Technology,False,True,False,False,False,1.0,True,73160.0,73160.0,457.0,10.0,True,True,False,78.0,56675.0,16485.0,28887.0
1,Stanford University,False,True,False,False,False,2.0,True,75470.0,75470.0,739.0,11.0,True,True,False,27.0,60250.0,15220.0,59083.0
2,Yale University,False,True,False,False,False,3.0,True,76490.0,76490.0,646.0,11.0,True,True,False,57.0,62089.0,14401.0,41120.0
3,Harvard University,False,True,False,False,False,4.0,True,73800.0,73800.0,814.0,12.0,True,True,False,73.0,61703.0,12097.0,29001.0
4,Princeton University,False,True,False,False,False,5.0,True,70850.0,70850.0,653.0,12.0,True,True,False,70.0,54271.0,16579.0,32702.0
5,Duke University,False,True,False,False,False,6.0,True,77569.0,77569.0,658.0,10.0,True,True,False,32.0,66754.0,10815.0,55960.0
6,Brown University,False,True,False,False,False,7.0,True,77490.0,77490.0,751.0,11.0,True,True,False,17.0,62935.0,14555.0,66763.0
7,Columbia University,False,True,False,False,False,8.0,True,,,,,False,True,False,,,,
8,University of Pennsylvania,False,True,False,False,False,9.0,True,78186.0,78186.0,1320.0,13.0,True,True,False,26.0,51724.0,26462.0,64589.0
9,Rice University,False,True,False,False,False,10.0,True,67402.0,67402.0,463.0,12.0,True,True,False,26.0,43656.0,23746.0,55899.0
10,Northwestern University,False,True,False,False,False,11.0,True,78599.0,78599.0,780.0,9.0,True,True,False,23.0,58827.0,19772.0,64948.0
11,Vanderbilt University,False,True,False,False,False,12.0,True,71110.0,71110.0,599.0,9.0,True,True,False,27.0,53134.0,17976.0,56740.0
12,Pomona College,False,False,False,True,True,13.0,True,75080.0,75080.0,189.0,11.0,True,True,False,44.0,59477.0,15603.0,48960.0
13,Washington University in St. Louis,False,True,False,False,False,14.0,True,76910.0,76910.0,551.0,8.0,True,True,False,12.0,47748.0,29162.0,71191.0
14,Dartmouth College,False,True,False,False,False,15.0,True,77326.0,77326.0,403.0,9.0,True,True,False,63.0,64516.0,12810.0,36663.0
15,California Institute of Technology,False,False,False,False,True,16.0,True,74763.0,74763.0,83.0,9.0,True,True,False,35.0,53060.0,21703.0,56224.0
16,University of Notre Dame,False,True,False,False,False,17.0,True,74193.0,74193.0,541.0,6.0,True,True,False,43.0,51006.0,23187.0,52414.0
17,University of Chicago,False,True,False,False,False,18.0,True,,,,,False,True,False,,,,
18,University of Southern California,True,False,False,False,False,19.0,True,73270.0,73270.0,2491.0,13.0,False,True,False,21.0,18069.0,55201.0,69433.0
19,Cornell University,True,False,False,False,False,20.0,True,75243.0,75243.0,1589.0,11.0,True,True,False,11.0,62170.0,13073.0,68240.0
20,Bowdoin College,False,False,False,True,True,21.0,True,70710.0,70710.0,107.0,6.0,True,True,False,49.0,56919.0,13791.0,43048.0
21,Amherst College,False,False,False,True,True,22.0,True,73966.0,73966.0,151.0,8.0,True,True,False,89.0,66093.0,7873.0,14876.0
22,University of Michigan - Ann Arbor,True,False,True,False,False,23.0,False,30298.0,30298.0,2107.0,7.0,False,True,True,0.0,0.0,30298.0,30298.0
23,Georgetown University,False,True,False,False,False,24.0,True,77768.0,77768.0,991.0,14.0,True,True,False,3.0,69406.0,8362.0,75737.0
24,Tufts University,False,True,False,False,False,25.0,True,74000.0,74000.0,588.0,11.0,True,True,False,29.0,60243.0,13757.0,56788.0
25,University of California - Los Angeles,True,False,True,False,False,26.0,False,34831.0,34831.0,3645.0,12.0,False,True,False,3.0,26372.0,8459.0,34013.0
26,Johns Hopkins University,False,True,False,False,False,27.0,True,,,,,False,True,False,,,,
27,Carnegie Mellon University,False,True,False,False,False,28.0,True,74116.0,74116.0,1507.0,23.0,False,True,True,0.0,0.0,74116.0,74116.0
28,University of Virginia,True,False,True,False,False,29.0,False,33493.0,33493.0,698.0,4.0,False,True,False,0.0,0.0,33493.0,33493.0
29,Emory University,False,True,False,False,False,30.0,True,70000.0,70000.0,1118.0,16.0,True,True,False,8.0,45671.0,24329.0,66323.0
30,Haverford College,False,False,False,True,True,31.0,True,76130.0,76130.0,144.0,11.0,True,True,False,28.0,64598.0,11532.0,58186.0
31,Carleton College,False,False,False,True,True,32.0,True,74275.0,74275.0,225.0,11.0,True,True,False,29.0,46915.0,27360.0,60513.0
32,Middlebury College,False,False,False,True,True,33.0,True,72000.0,72000.0,274.0,11.0,True,True,False,52.0,61036.0,10964.0,40368.0
33,Barnard College,False,False,False,True,True,34.0,True,78044.0,78044.0,249.0,9.0,True,True,False,12.0,62097.0,15947.0,70562.0
34,Williams College,False,False,False,True,True,35.0,True,75520.0,75520.0,158.0,8.0,True,True,False,59.0,66066.0,9454.0,36215.0
35,Washington & Lee University,False,False,False,True,True,36.0,True,70500.0,70500.0,69.0,4.0,True,True,False,99.0,60681.0,9819.0,10698.0
37,Georgia Institute of Technology,False,True,True,False,False,38.0,False,31080.0,31080.0,1375.0,10.0,False,True,True,0.0,0.0,31080.0,31080.0
38,Wellesley College,False,False,False,True,True,39.0,True,74948.0,74948.0,324.0,14.0,True,True,False,27.0,64514.0,10434.0,57227.0
39,Swarthmore College,False,False,False,True,True,40.0,True,73524.0,73524.0,210.0,13.0,True,True,False,34.0,63252.0,10272.0,51838.0
