Institution,Total Cost of Attendance,Full-Time Undergrads,Full-Time Nonresident Aliens ,Percentage of Nonresident Aliens to All Undergrads,Policy: Need-based,Policy: Merit,Policy: No Aid,Percentage of Nonresident Aliens Receiving Aid,Average Aid Award,Average Cost with Aid,Expected Cost
U. of Massachusetts - Amherst,31000.0,31000.0,1622.0,8.0,False,True,False,53.0,9142.0,21858.0,26175.0
U. of Alabama,26482.0,26482.0,589.0,2.0,False,True,False,17.0,32586.0,-6104.0,20894.0
New C. of Florida,20650.0,20650.0,5.0,1.0,False,True,False,100.0,23954.0,-3304.0,-3304.0
U. of Maine - Orono,25088.0,25088.0,170.0,2.0,False,True,False,76.0,25481.0,-393.0,5752.0
U. of Florida,0.0,0.0,742.0,2.0,False,True,True,0.0,0.0,0.0,0.0
St. John's C. - Santa Fe,50170.0,50170.0,73.0,23.0,True,True,False,100.0,48537.0,1633.0,1633.0
The Citadel,34317.0,34317.0,28.0,1.0,False,True,False,29.0,30930.0,3387.0,25480.0
U. of Hawaii - Manoa ,28855.0,28855.0,383.0,3.0,True,True,False,59.0,25046.0,3809.0,14011.0
U. of Vermont,24550.0,24550.0,517.0,5.0,True,True,False,37.0,20410.0,4140.0,16931.0
Eastern Michigan U. ,23952.0,23952.0,270.0,2.0,False,True,False,71.0,19613.0,4339.0,10005.0
Skidmore C.,71781.0,71781.0,299.0,12.0,True,True,False,29.0,67085.0,4696.0,52486.0
U. of Mississippi,25762.0,25762.0,285.0,2.0,False,True,False,77.0,20812.0,4950.0,9770.0
Southeastern Louisiana U.,21925.0,21925.0,153.0,2.0,False,True,False,100.0,15423.0,6502.0,6502.0
James Madison U.,26230.0,26230.0,355.0,2.0,True,True,False,30.0,19627.0,6603.0,20314.0
U. of New Hampshire,34472.0,34472.0,495.0,4.0,False,True,False,23.0,27289.0,7183.0,28132.0
Amherst C.,73966.0,73966.0,151.0,8.0,True,True,False,89.0,66093.0,7873.0,14876.0
C. of the Atlantic,54969.0,54969.0,83.0,26.0,True,True,False,100.0,46796.0,8173.0,8173.0
Georgetown U.,77768.0,77768.0,991.0,14.0,True,True,False,3.0,69406.0,8362.0,75737.0
U. of Cal. - Los Angeles,34831.0,34831.0,3645.0,12.0,False,True,False,3.0,26372.0,8459.0,34013.0
U. of Delaware,29342.0,29342.0,954.0,5.0,False,True,False,10.0,20791.0,8551.0,27272.0
Texas A & M U.,28540.0,28540.0,635.0,1.0,True,True,False,41.0,19733.0,8807.0,20522.0
North Carolina State U. - Raleigh,23977.0,23977.0,852.0,4.0,False,True,False,22.0,15002.0,8975.0,20631.0
SUNY Binghamton,21686.0,21686.0,1058.0,8.0,True,True,False,5.0,12635.0,9051.0,21029.0
Soka U. of America,52804.0,52804.0,188.0,44.0,True,True,False,100.0,43602.0,9202.0,9202.0
Hamilton C.,70490.0,70490.0,126.0,7.0,True,True,False,42.0,61051.0,9439.0,44810.0
Williams C.,75520.0,75520.0,158.0,8.0,True,True,False,59.0,66066.0,9454.0,36215.0
U. of Toledo,17141.0,17141.0,888.0,7.0,False,True,False,47.0,7378.0,9763.0,13676.0
Washington & Lee U.,70500.0,70500.0,69.0,4.0,True,True,False,99.0,60681.0,9819.0,10698.0
U. of Kansas,25654.0,25654.0,1091.0,6.0,False,True,False,10.0,15490.0,10164.0,24064.0
Swarthmore C.,73524.0,73524.0,210.0,13.0,True,True,False,34.0,63252.0,10272.0,51838.0
NM Inst. of Mining and Tech.,17410.0,17410.0,21.0,2.0,False,True,False,10.0,7125.0,10285.0,16731.0
Evergreen State C.,23600.0,23600.0,7.0,1.0,False,True,False,100.0,13300.0,10300.0,10300.0
Michigan State,31052.0,31052.0,3866.0,11.0,False,True,False,14.0,20620.0,10432.0,28209.0
Wellesley C.,74948.0,74948.0,324.0,14.0,True,True,False,27.0,64514.0,10434.0,57227.0
Duke U.,77569.0,77569.0,658.0,10.0,True,True,False,32.0,66754.0,10815.0,55960.0
Providence C.,69730.0,69730.0,81.0,2.0,True,True,False,88.0,58728.0,11002.0,18252.0
Cal. State U. - LA,24947.0,24947.0,1665.0,8.0,True,True,False,2.0,13532.0,11415.0,24728.0
U. of Colorado - Boulder,31044.0,31044.0,1933.0,7.0,False,True,False,7.0,19621.0,11423.0,29755.0
Haverford C.,76130.0,76130.0,144.0,11.0,True,True,False,28.0,64598.0,11532.0,58186.0
Spelman C.,53179.0,53179.0,16.0,1.0,True,True,False,63.0,41454.0,11725.0,27270.0
Harvard U. ,73800.0,73800.0,814.0,12.0,True,True,False,73.0,61703.0,12097.0,29001.0
Trinity C.,76950.0,76950.0,283.0,14.0,True,True,False,58.0,64705.0,12245.0,39453.0
Indiana U. - Purdue U. - Indy,21741.0,21741.0,818.0,5.0,True,True,False,35.0,9148.0,12593.0,18531.0
St. Mary's U. (TX),47260.0,47260.0,187.0,8.0,True,True,False,50.0,34503.0,12757.0,29916.0
Grand Valley State U.,22744.0,22744.0,243.0,1.0,True,True,False,63.0,9973.0,12771.0,16424.0
Dartmouth C.,77326.0,77326.0,403.0,9.0,True,True,False,63.0,64516.0,12810.0,36663.0
U. of North Dakota ,22069.0,22069.0,476.0,6.0,True,True,False,26.0,9249.0,12820.0,19660.0
Cornell U.,75243.0,75243.0,1589.0,11.0,True,True,False,11.0,62170.0,13073.0,68240.0
St. John's C. - Annapolis,51076.0,51076.0,107.0,24.0,True,True,False,94.0,37977.0,13099.0,15229.0
Marlboro C.,43350.0,43350.0,3.0,2.0,False,True,False,67.0,30006.0,13344.0,23346.0
San Diego State U.,30522.0,30522.0,2227.0,8.0,True,True,False,5.0,17000.0,13522.0,29644.0
Brigham Young U.3,19236.0,19236.0,1026.0,4.0,True,True,False,52.0,5704.0,13532.0,16289.0
Iowa State U.,21186.0,21186.0,1697.0,6.0,False,True,False,20.0,7554.0,13632.0,19646.0
Hillsdale C.,42958.0,42958.0,20.0,1.0,True,True,False,100.0,29280.0,13678.0,13678.0
Bowdoin C.,70710.0,70710.0,107.0,6.0,True,True,False,49.0,56919.0,13791.0,43048.0
Colgate U.,75000.0,75000.0,276.0,9.0,True,True,False,56.0,61103.0,13897.0,40685.0
Bates C.,73538.0,73538.0,142.0,8.0,True,True,False,56.0,59258.0,14280.0,40153.0
Kenyon C. ,71150.0,71150.0,123.0,7.0,True,True,False,63.0,56791.0,14359.0,35136.0
Yale U.,76490.0,76490.0,646.0,11.0,True,True,False,57.0,62089.0,14401.0,41120.0
U. of Cal. - Sta. Barbara,36685.0,36685.0,2743.0,12.0,False,True,False,3.0,22215.0,14470.0,36045.0
Brown U.,77490.0,77490.0,751.0,11.0,True,True,False,17.0,62935.0,14555.0,66763.0
U. of South Florida - Tampa,23320.0,23320.0,2095.0,9.0,False,True,False,19.0,8643.0,14677.0,21695.0
U. of Maryland - Baltimore,28212.0,28212.0,449.0,5.0,False,True,False,19.0,13464.0,14748.0,25603.0
Hollins U.,56290.0,56290.0,44.0,7.0,True,True,False,100.0,41301.0,14989.0,14989.0
Stanford U.,75470.0,75470.0,739.0,11.0,True,True,False,27.0,60250.0,15220.0,59083.0
U. of Nevada - Reno,24652.0,24652.0,146.0,1.0,True,True,False,53.0,9415.0,15237.0,19622.0
